trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
139,False,"{'a': 0.5, 'e': 0.0632917683596407}",30,19,6.08317821562977,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.06203850737735829}",30,12,30.096067641442772,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.06081006262521795}",20,14,12.741947812588986,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.05960594270893937}",20,9,12.402227984675065,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.05842566596450083}",25,0,24.688502570971046,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
144,False,"{'a': 0.5, 'e': 0.05726876026546736}",30,19,-2.007164869716862,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.056134762834133725}",35,15,32.35108238649153,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.05502322005640723}",30,18,-26.174015091660223,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
147,False,"{'a': 0.5, 'e': 0.05393368730035602}",25,19,13.71737377253116,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.05286572873835037}",25,9,24.38873624756589,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.05181891717272583}",25,12,11.94822483136133,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.0507928338648985}",20,15,8.022559915493666,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.049787068367863944}",25,10,13.132888738318433,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.04880121836201296}",20,0,-0.2451353852830359,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
153,False,"{'a': 0.5, 'e': 0.04783488949419837}",20,9,-6.0549818966690685,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.046887695219988486}",30,22,17.7935360108257,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.045959256649044204}",20,10,19.29292594700806,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.0450492023935578}",30,17,20.677974333820746,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.04415716841969286}",30,14,22.711498581999706,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.043282797901965896}",25,13,22.762807398216847,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.042425741080511385}",25,11,25.733248895644063,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.04158565512117316}",25,9,28.130651636554724,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.04076220397836621}",20,14,11.549147122001422,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.039955058260653896}",25,2,31.650419776039083,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.039163895098987066}",30,0,30.78155001574061,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
164,False,"{'a': 0.5, 'e': 0.038388398017552054}",25,20,9.763938081724334,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.0376282568071762}",20,6,26.360864144709506,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.5, 'e': 0.036883167401239994}",20,6,8.814256621664477,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.03615283175404641}",25,14,19.703629484057366,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.03543695772159864}",20,16,6.820824369072493,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.03473525894473856}",20,13,12.774394505935106,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.034047454734599344}",20,11,14.833565938396593,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.03337326996032608}",20,7,24.759466172330445,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.03271243493901982}",25,12,23.792955284135736,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.03206468532786077}",20,0,17.959913949531582,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
174,False,"{'a': 0.5, 'e': 0.03142976201836771}",20,10,17.1148097808973,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.030807411032751076}",25,11,24.72627375025433,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.0301973834223185}",30,16,8.967115494555916,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.029599435167892}",20,13,11.860683992202267,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.029013327082197053}",25,12,25.302874261804664,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.028438824714184505}",20,8,21.87801931334518,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.027875698255247015}",25,9,27.647104552325217,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.02732372244729256}",20,10,22.8571031786704,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.026782676492638175}",25,10,31.119283402930375,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.5, 'e': 0.02625234396568796}",20,12,17.093416152912944,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.5, 'e': 0.02573251272635994}",20,6,23.200730690260457,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.5, 'e': 0.025222974835227212}",20,5,21.009994152268337,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.5, 'e': 0.024723526470339388}",30,14,23.176167706095505,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.5, 'e': 0.024233967845691113}",20,6,24.068317756261074,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.5, 'e': 0.023754103131304997}",30,8,31.857657038422392,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.5, 'e': 0.023283740374897}",25,17,14.664151591399817,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.5, 'e': 0.02282269142509297}",25,13,9.00444034956054,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
191,False,"{'a': 0.5, 'e': 0.02237077185616559}",25,5,24.481299490066508,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
192,False,"{'a': 0.5, 'e': 0.02192780089426161}",20,14,12.688174731845615,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.5, 'e': 0.021493601345089923}",30,13,31.611032470911066,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.5, 'e': 0.021067999523041434}",25,11,25.493180826292505,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.5, 'e': 0.020650825181712566}",30,16,25.545524969100754,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.5, 'e': 0.02024191144580439}",20,6,23.651323511240612,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.5, 'e': 0.019841094744370288}",30,18,24.667815596248307,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.5, 'e': 0.01944821474538539}",25,10,26.769479073686746,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.5, 'e': 0.019063114291611637}",25,14,18.818693910224162,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.5, 'e': 0.018685639337732773}",20,16,6.772826267242764,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
